Multilingual,lg family,family code ,Language (group),alternate lg (group),language code,Language (based on native name),dialect code,ISO 3 Letter country code,OfficialVillageName,MajorCity,PopulationNumber,village (RB),village (DNAFLA),village (SIL),village (map),Transcribed Village Name,N Lat,W Lon,NFr,WFr,Nmn60,Wmn60,NMinFr,WMinFr,Ndg,Wdg,N Lat_2,W Lon_2,N SIL,W SIL,N Lat source,WLon source,N Lat map,WLon map,N Lat us,W Long us,sourceOfCoordinates,name of map,lg comment,industries,weekly market,surnames,social info,Image,ImageDescription,Audio,AudioTranscription,Video,VideoTranscription
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Danbommo,,,,,,(none),dǎ:nbɔ̀mmɔ̀,14.492,-3.641,0.925,0.781,29.0,38.0,29.925,38.781,14,03,14 29.925,03 38.781,,,,,,,14 29.925,03 38.781,Dogon project,Bandiagara (not shown),,,,"Karambé, Tapily",village on plateau; dam and gardens; settled from Koundiala,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Dari (Dogulu),,,,,,Dari,"dá:rù, dà:r-dánà (""lower Dari"")",14.488,-3.609,0.523,0.904,29.0,36.0,29.523,36.904,14,03,14 29.523,03 36.904,,,,,,,14 29.523,03 36.904,Dogon project,Bandiagara,,,,Tapily,village on high plateau near seasonal river; farming and herding [for paired Fulbe village see Dari-Wouro],,,,,,
,Atlantic,,Fulfulde,peul (French),ffm,Fulfulde,,MLI,Diamangolo,,,,,,Diamangolo,jàmàŋgɔ́lɔ̀ ~ jàmgɔ́lɔ̀ (Dogul Dom),14.622,-3.706,0.628,0.624,37.0,42.0,37.628,42.624,14,03,14 37.628,03 42.624,,,,,,,14 37.628,03 42.624,Dogon project,Bandiagara,,"many Fulfulde-speaking ethnic Dogon, also some Dogul Dom and Mombo speakers",,"Ongoiba, Ombotimbé, Ouologuem","small village in valley at base of cliffs (was larger before Fulbe predations 19th C); stop on vehicle route Fatoma to Banguel Toupé; settled from Koubewel near Douentza (Ongoiba), Kendié (Ombotimbé), and Tougoumé just north of Sevare-Bandiagara highway (Ouologuem)",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Dongossoro,,,Dongosori,Dongosori,,Dongossori,dóŋgùsó:rò,14.623,-3.573,0.717,0.634,37.0,34.0,37.717,34.634,14,03,14 37.717,03 34.634,,,,,14 37,03 35,14 37.717,03 34.634,Dogon project,Bandiagara,,,,"Karambe (most common), Seiba, Dolo, Kassogue, Tapily, Djiguiba","village on plateau; farming and light herding [on gov't map this is ""Dongossori"" with two s's distinct from a small ""Dongosori"" with one s at N 14 38 by W 03 29.5)",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Dounali,,,,,,Dounali,dúnnàl,14.653,-3.539,0.347,0.66,39.0,32.0,39.347,32.660,14,03,14 39.347,03 32.660,,,,,,,14 39.347,03 32.660,Dogon project,Bandiagara,some Tommo So (Ouologuem),,,"Karambé, Goimba, Ouologuem",village on elevation on plateau; settled from Nandoly,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,"Dourana, Douro-Ninou",,,,,,Douro,dùrɔ́ nì:nú,14.567,-3.586,0.113,0.303,34.0,35.0,34.113,35.303,14,03,14 34.113,03 35.303,,,,,,,14 34.113,03 35.303,Dogon project,Bandiagara,,,,"Karambe (most common), Nantoumme, Djiguiba, Seiba, Tapily, Kassogue","village on edge of plateau overlooking river with dam; farming and herding; extensive gardening (onion, tomato, lettuce, potato); widely known for traditional healers",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Douro,,,Duro,,,Douro,dùrɔ́,14.566,-3.583,,,34.0,35.0,34,35,14,03,14 34,03 35,,,,,14 34,03 35,,,map,Bandiagara,,,,,"cluster of three villages near edge of plateau overlooking river (see Dourana, Doura-Sokoura, Douro-Madina)",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Douro-Madina,,,,,,(none),dùrɔ́ màdí:nɛ̀,14.555,-3.586,0.547,0.363,33.0,35.0,33.547,35.363,14,03,14 33.547,03 35.363,,,,,,,14 33.547,03 35.363,Dogon project,Bandiagara (not shown separately),,,,"Nantoummé, Karambé",village on slope from plateau down to valley; do gardening at Douro-Na; settled from Koundiala,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Douro-Sokoura,,,,,,(none),dùrɔ́ sò:kúrà,14.566,-3.575,0.008,0.92,34.0,34.0,34.008,34.920,14,03,14 34.008,03 34.920,,,,,,,14 34.008,03 34.920,Dogon project,Bandiagara (not shown separately),,,,"Nantoummé, Karambé, Tésougué",village on plateau; do gardening at Douro-Na; settled from Koundiala and Gongo,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Gongo,,,,,,(none),"gɔ́ŋɔ̀ (Dogul Dom), gɔ́ŋgɔ̀ (Tommo So)",14.535,-3.437,0.18,0.459,32.0,26.0,32.180,26.459,14,03,14 32.180,03 26.459,,,,,,,14 32.180,03 26.459,Dogon project,Bandiagara (not shown),,,,Tebsougou,"village on rocky plateau above narrow valley, in 7 nearby sections",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Guéméné,,,,,,Guéméné,gèménù,14.488,-3.45,0.5,,29.0,27.0,29.5,27,14,03,14 29.5,03 27,,,,,14 29.5,03 27,,,map,Bandiagara,,,,,,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Horé Niva,,,,,,Horé Niva,"hoore ɲiiwa (Fulfulde, ""elephant-head""), hɔ́:rɲɛ̀ (Dogul Dom)",14.603,-3.638,0.357,0.506,36.0,38.0,36.357,38.506,14,03,14 36.357,03 38.506,,,,,,,14 36.357,03 38.506,Dogon project,Bandiagara,,,,"Nantoummé, Karambé",village on plateau; gardens (with their own water tower); mostly herders; settled from Koundiala,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Irigili,,,Irigili (RB),,,Kia,írìgìl,14.639,-3.604,0.648,0.457,38.0,36.0,38.648,36.457,14,03,14 38.648,03 36.457,,,,,,,14 38.648,03 36.457,Dogon project,Bandiagara,,,,"Tebisouge, Karambe, Gundo, Yaloukouyé [jàlkújè]","village on flat plateau overlooking a ravine; farming and lighte herding; gardens 2km away at river (onion, mango) [on gov't map as ""Kia""]",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Ka,,,,,,,"kǎ:, kàbá",,,,,,,,,,,,,,,,,,,,,,,,,,Tapily,cluster of three villages 2 km SSE of Komégou,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Ka (Lower),,,,,,,"kà:-dánà ~ kàbà-dánà (Dogul Dom), kà:-dâ: (Tommo So)",14.483,-3.438,,0.5,29.0,26.0,29,26.5,14,03,14 29,03 26.5,,,,,14 29,03 26.5,,,map,Bandiagara,,,,Tapily,"village on rocky elevation on plateau, visible from Komégou",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Ka (Upper),,,,,,Kabadié (i.e. Kaba-Joye),"kà: sìgɛ̌-ŋ ~ kàbà-sìgɛ̌-ŋ (Dogul Dom), kà:-jóy (Tommo So)",14.466,-3.455,,0.5,28.0,27.0,28,27.5,14,03,14 28,03 27.5,,,,,14 28,03 27.5,,,map,Bandiagara,,,,Tapily,village on plateau,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Ka-Tengoul,,,,,,Ka,téŋgùl,,,,,,,,,,,,,,,,,,,,,,,,,,Tapily,"village on plateau, part of Ka cluster, near Komégou",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Kenntaba,,,Ken Taba Dana,,,Kenntaba,kèntàbá,14.616,-3.5,,,37.0,30.0,37,30,14,03,14 37,03 30,,,,,14 37,03 30,,,map,Bandiagara,,,,,"village in two nearby parts, see Kenntaba-Ley and Kenntaba-Do [Blench: ""Ken Taba Sigang"" and ""Ken Taba Dana""]",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Kenntaba-Do,,,,,,(none),kèntàbà-dánà,14.607,-3.493,0.717,0.998,36.0,29.0,36.717,29.998,14,03,14 36.717,03 29.998,,,,,,,14 36.717,03 29.998,Dogon project,Bandiagara (not separately labeled),,,,,village quarter on plateau overlooking valley; same info as Kenntaba-Ley,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Kenntaba-Leye,,,,,,(none),kèntàbà-sìgɛ̌ⁿ,14.608,-3.503,0.891,0.393,36.0,30.0,36.891,30.393,14,03,14 36.891,03 30.393,,,,,,,14 36.891,03 30.393,Dogon project,Bandiagara (not separately labeled),,,,"Tapily, Karambe, Kassogue",village quarter on plateau overlooking valley; farming and light herding; gardens ,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Komégou,,,,,,Komégou,kɔ̀mmɛ̀:gú,14.486,-3.459,0.292,0.969,29.0,27.0,29.292,27.969,14,03,14 29.292,03 27.969,,,,,14 29,03 28,14 29.292,03 27.969,Dogon project,Bandiagara,,,,Tapily,village on plateau,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Komoni,,,Kɔmɔni (RB),,,(none),kɔ̀mmɔ̌n,,,,,,,,,,,,,,,,,,,,,?,,,,,,"village cluster in three parts, see Komoni-Sige, Komoni-Dana, and Komoni-Neme; Blench: ""Kɔmɔni Sigang"" and ""Kɔmɔni Dana""",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Komoni-Dana,,,,,,(none),kɔ̀mmɔ̀n-dánà-ŋ,14.587,-3.52,0.444,0.413,35.0,31.0,35.444,31.413,14,03,14 35.444,03 31.413,,,,,,,14 35.444,03 31.413,Dogon project,Bandiagara (not shown),,,,Seiba,village on plateau; Islamic medersa; gardens; settled from Menemene,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Komnio-Nema,,,,,,(none),kɔ̀mmɔ̀n-némà,14.571,-3.504,0.519,0.443,34.0,30.0,34.519,30.443,14,03,14 34.519,03 30.443,,,,,,,14 34.519,03 30.443,Dogon project,Bandiagara (not shown),,,,Seiba,village on elevation on plateau; school under construction (2015); settled from Menemene,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Komoni-Sigan,,,,,,(none),kɔ̀mmɔ̀n-sìgǎ-ŋ,14.588,-3.522,0.494,0.611,35.0,31.0,35.494,31.611,14,03,14 35.494,03 31.611,,,,,,,14 35.494,03 31.611,Dogon project,Bandiagara (not shown),,,,Tapily,village on plateau; locally built school; settled from Taboura near Kani-Gogouna,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Koundiala,,,Kangyalam (RB),,,,kùnjùlɔ̌ⁿ,14.518,-3.568,0.196,0.151,31.0,34.0,31.196,34.151,14,03,14 31.196,03 34.151,,,,,,,14 31.196,03 34.151,Dogon project,Bandiagara,,,"Sunday, small",Nantoumme,"village on plateau, on road Bandiagara-Kendie; farming and light herding",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Koundougou,,,,,,,kúntùgù (~ kúndùgù),15,15,15,15,15,15,,,0,0,,,,,,,,,,,,Bandiagara (not shown),,,,"Tapily, Tembeli, Yanogue",village in two nearby parts on plateau overlooking a small river; farming and herding; dam with gardens nearby,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Koundougou-Layya,,,,,,,lǎyyà kùntùgù,14.458,-3.55,0.846,0.023,27.0,33.0,27.846,33.023,14,03,14 27.846,03 33.023,,,,,,,14 27.846,03 33.023,Dogon project,Bandiagara (not shown),,,,,part of Koundougou village cluster,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Koundougou-Tangang,,,,,,,kùntùgù-táŋáŋ,,,,,,,,,,,,,,,,,,,,,,Bandiagara (not shown),,,,,part of Koundougou village cluster,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Menemene,,,,,,(none),mɛ́nmɛ̀n,14.526,-3.459,0.993,0.921,31.0,27.0,31.993,27.921,14,03,14 31.993,03 27.921,,,,,,,14 31.993,03 27.921,Dogon project,Bandiagara (not shown),,,,"Seiba (majority), Karambe",village on rocky plateau above narrow valley; school,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Nandoly (Nandoli),,,,,,Nandoli,"nàndǐl, nàndôl",14.502,-3.458,0.233,0.843,30.0,27.0,30.233,27.843,14,03,14 30.233,03 27.843,,,,,,,14 30.233,03 27.843,Dogon project,Bandiagara,,,minor market on 6-day cycle,"Karambé, Tapily","large village in five sections (sùgù-gónnò, dònnú, dà:líyo, kàjàlí)",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Nantanga,,,,,,(none),nàndǎŋ,14.526,-3.45,0.993,0.098,31.0,27.0,31.993,27.098,14,03,14 31.993,03 27.098,,,,,,,14 31.993,03 27.098,Dogon project,Bandiagara (not shown),,famous healers,,Karambe,village on rocky promontory surrounded on 3 sides by sharp descents down to valleys with fields,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Pédéni,,,,,,Pédéni,pè:sín,14.505,-3.44,0.588,0.674,30.0,26.0,30.588,26.674,14,03,14 30.588,03 26.674,,,,,,,14 30.588,03 26.674,Dogon project,Bandiagara,,,,Nantoummé,"village on rocky plateau above narrow valley, just off new road Bandiagara to Ninggari; school, dam",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Pelani,,,Pelemi,,,Pélani,pɛ́lɛ́n,14.608,-3.551,0.834,0.153,36.0,33.0,36.834,33.153,14,03,14 36.834,03 33.153,,,,,14 37,03 33,14 36.834,03 33.153,Dogon project,Bandiagara,,,,"Karambe, Kassogue, Seiba, Tapily, Nantoumme, Kansaye [kàⁿsâj]","village on pleteau near river, on road Bandiagara-Kendie",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Sogodougou,,,,,,Sogodougou,sɔ̀gɔ́-dùgù,14.619,-3.538,0.278,0.533,37.0,32.0,37.278,32.533,14,03,14 37.278,03 32.533,,,,,,,14 37.278,03 32.533,Dogon project,Bandiagara,,,,"cosmpolitan with many surnames: Teme (chief's family, originally from Yendouma), Tapily, Dolo, Karambe, Kassogue, Djiguiba, Guindo, Dara","village on plateau near river, on road Bandiagara to Kendie; farming and light herding",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Solo,,,,,,,sólò,,,,,,,,,,,,,,,,,,,,,,,,,,"Karambé, Yalkouyé","village in two parts, upper and lower",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Solo-Dana,,,,,,,sòlò-dánà-ŋ,14.534,-3.625,0.152,0.838,32.0,37.0,32.152,37.838,14,03,14 32.152,03 37.838,,,,,,,14 32.152,03 37.838,Dogon project,Bandiagara,,,,"Karambé, Tapily",village on plateau; school under construction (2015); settled from Koundiala,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Solo-Sigan,,,,,,,sòlò-sìgǎ-ŋ,14.519,-3.635,0.268,0.241,31.0,38.0,31.268,38.241,14,03,14 31.268,03 38.241,,,,,,,14 31.268,03 38.241,Dogon project,Bandiagara,,,,"Nantoummé, Karambé, Tapily",village on plateau; dam; settled from Koundiala,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Somoli,,,Somoli,,,Somoli,sòmmôl,14.6,-3.55,,,36.0,33.0,36,33,14,03,14 36,03 33,,,,,14 36,03 33,,,map,Bandiagara,,,,,village on plateau overlooking river; farming and light herding; gardening assisted by dam,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Tabara,,,,,,(none),tábàrà,,,,,,,,,,,,,,,,,,,,,,Bandiagara (not shown),,,,Tapily,"village on plateau in Nandoly area, about 5 km east of Komégou",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Tengourou,,,,,,Tinngourou,téŋgùrù,14.622,-3.691,0.567,0.804,37.0,41.0,37.567,41.804,14,03,14 37.567,03 41.804,,,,,14 38,03 41,14 37.567,03 41.804,Dogon project,Bandiagara,,,,"Karambé, Tapily",village on rocky elevation between valleys; settled from Nandoly (Tapily) and Menemene (Karambé),,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Waynoro,,,,,,(none),wáynɔ̀rɔ̀,14.634,-3.671,0.101,0.457,38.0,40.0,38.101,40.457,14,03,14 38.101,03 40.457,,,,,,,14 38.101,03 40.457,Dogon project,Bandiagara,,,,"Nantoummé, Karambé, Kanambaye",village on plateau; mostly herders; settled from Koundiala,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Tintimbolo,,,,,,,tɛ̀ⁿtómbòlò,,,,,,,,,,,,,,,,,,,,,,Bandiagara,,,,,village cluster on plateau,,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Tintimbolo-Dologou,,,,,,Tinntimbolo,dɔ́lɔ̀gù,14.455,-3.487,0.567,0.368,27.0,29.0,27.567,29.368,14,03,14 27.567,03 29.368,,,,,,,14 27.567,03 29.368,Dogon project,Bandiagara,,,,Tapiiy,"village on new road Bandiagara-Douentza, part of Tintimbolo cluster",,,,,,
,Dogon,,Dogul Dom,,dbg,Dogul Dom,,MLI,Tintimbolo-Tenné,,,,,,Tenné,,14.45,-3.49,,0.7,27.0,29.0,27,29.7,14,03,14 27,03 29.7,,,,,14 27,03 29.7,,,,Bandiagara,,,,,"village, probably part of Tintimbolo cluster",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Andaba,,,,,,,àndá:bà,14.441,-3.606,0.859,0.679,26.0,36.0,26.859,36.679,14,03,14 26.859,03 36.679,,,,,,,14 26.859,03 36.679,Dogon project,Bandiagara (not shown),,,,Djiguiba,village on high plateau; farming and herding,,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Andioubolo,,,,,,Andioubolo,àɲúmbɔ̀lɔ̀,14.405,-3.488,0.534,0.564,24.0,29.0,24.534,29.564,14,03,14 24.534,03 29.564,,,,,,,14 24.534,03 29.564,Dogon project,Bandiagara,,,,Banou,"village in two sections on plateau overlooking river that flows to Bandigara; farming and herding; extensive gardens (onion, tobacco)",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Bargoumou,,,,,,Bargoumou,bàrgùmú,14.27,-3.559,0.407,0.919,16.0,33.0,16.407,33.919,14,03,14 16.407,03 33.919,,,,,14 16,03 34,14 16.407,03 33.919,Dogon project,Bandiagara,,,,"Djiguiba, Kassogué, Nantoummé","village in plateau; farming and herding. dam, gardening; settled from Soninghé near Ende",,,,,,
,Dogon,,Donno So,,dtm,"Donno So, Kamma So",,MLI,Bodio,,,,,,Bodio,bɔ́dɔ̀,14.241,-3.686,0.828,0.329,14.0,41.0,14.828,41.329,14,03,14 14.828,03 41.329,,,,,,,14 14.828,03 41.329,Dogon project,Bandiagara,,,,"Kéné, Guindo",village on plateau,,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Daga,,,,,,Daga,dágà,14.239,-3.573,0.647,0.707,14.0,34.0,14.647,34.707,14,03,14 14.647,03 34.707,,,,,14 15,03 35,14 14.647,03 34.707,Dogon project,Bandiagara,,,,Djiguiba,"village in plateau; farming and herding, gardens; school; settled from Kany-Bonzon",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Dagabide,,,,,,Dagabide,dágàbìdè,14.409,-3.441,0.924,0.769,24.0,26.0,24.924,26.769,14,03,14 24.924,03 26.769,,,,,,,14 24.924,03 26.769,Dogon project,Bandiagara,,,,Kelepili,"village on plateau, on road Sangha to Bandiagara; farming and herding; extensive gardening (onion, tobacco, mango)",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Dandoli,,,,,,Dandoli,dànnólì,14.392,-3.54,0.923,0.716,23.0,32.0,23.923,32.716,14,03,14 23.923,03 32.716,,,,,,,14 23.923,03 32.716,Dogon project,Bandiagara,,,,Ouologuem and Tembeli,"village on plateau overlooking river that flows to Bandiagara, on road Sangha to Bandiagara; extensive gardens (onion, tobacco)",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Diombolo-Leye,,,,Diombòlò,,Diombololèye,jɔ̀mbɔ́lɔ̀-lé:,14.301,-3.6,0.155,0.092,18.0,36.0,18.155,36.092,14,03,14 18.155,03 36.092,,,,,14 18,03 36,14 18.155,03 36.092,Dogon project,Bandiagara,,"leatherworkers, dye-ers",,"Karambe, Djiguiba, Napo (leatherworkers)","village on plateau on road Bandiagara-Bankass; school, gardens; settled from Kamba-Saramba",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Diombolo-Do,,,,,,Diombolodo,jɔ̀mbɔ̀lɔ̀-dɔ̌:,14.276,-3.592,0.99,0.871,16.0,35.0,16.990,35.871,14,03,14 16.990,03 35.871,,,,,14 18,03 36,14 16.990,03 35.871,Dogon project,Bandiagara,,,,Djiguiba,"village on high spot in rocky plateau; farming and herding, gardens, dam; settled from Daga",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Dioubairou,,,,,,Dioubairou,jùbɔ̂l,14.318,-3.535,0.222,0.193,19.0,32.0,19.222,32.193,14,03,14 19.222,03 32.193,,,,,,,14 19.222,03 32.193,Dogon project,Bandiagara,,,,"Banou (most), Djiguiba, Kassogue, Karambe; ",village on plateau; extensive onion gardens,,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Dobolo,,,,,,Dobolo,dɔ̀bɔ̀lɔ́,14.285,-3.534,0.211,0.152,17.0,32.0,17.211,32.152,14,03,14 17.211,03 32.152,,,,,14 17,03 32,14 17.211,03 32.152,Dogon project,Bandiagara,,,,"Banou, Kassogué, Saye","village in plateau; farming and herding, dam, gardening; school; settled from Kamma (Banou & Kassogué) and Terely (Saye surname)",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Domo,,,,,,Domo,dómù,14.435,-3.457,0.23,0.714,26.0,27.0,26.230,27.714,14,03,14 26.230,03 27.714,,,,,,,14 26.230,03 27.714,Dogon project,Bandiagara,,,,Tapily,village on rocky plateau near Soroli; they share a dam with Lougouroudombo; share dam and gardens with Lougourougoumbo; settled from Kawa ~ Kaa (near Kany Gogouna),,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Doumbogou,,,,,,Doumbougou,dúmbɔ̀gù,14.434,-3.442,0.07,0.959,26.0,26.0,26.070,26.959,14,03,14 26.070,03 26.959,,,,,,,14 26.070,03 26.959,Dogon project,Bandiagara,,,,Djiguiba,village on rocky plateau near Soroli; share dam and gardens with Lougourougoumbo; settled from Kawa ~ Kaa (near Kany Gogouna),,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Edé,,,,,,Edé,ɛ̀dɛ́,14.275,-3.509,0.834,0.905,16.0,30.0,16.834,30.905,14,03,14 16.834,03 30.905,,,,,,,14 16.834,03 30.905,Dogon project,Bandiagara,,,,"Kéné, Yébédié","village on elevation in rocky plateau; farming and herding, dam, gardens; school; settled from Konsogou-Leye",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Gologou-Do,,,,,,Gologoudo,"gólùgù, gòolùgù-d<o@5:",14.401,-3.509,0.117,0.922,24.0,30.0,24.117,30.922,14,03,14 24.117,03 30.922,,,,,,,14 24.117,03 30.922,Dogon project,Bandiagara,,,,"Nantoumbe, Kelepily","village on plateau overlooking river that flows to Bandiagara, on road Sangha to Bandiagara; extensive gardens (onion, tobacco); settled from Dagabide",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Gologou-Leye,,,,,,Gologoulé,gòlùgù-lé:,14.405,-3.508,0.543,0.816,24.0,30.0,24.543,30.816,14,03,14 24.543,03 30.816,,,,,,,14 24.543,03 30.816,Dogon project,Bandiagara,,,,Nantoummé,village on plateau; settled from Kamba-Diguili,,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Goulombo,,,,,,Goulombo,"gòlòmbó, gùlùmbó",14.268,-3.509,0.183,0.974,16.0,30.0,16.183,30.974,14,03,14 16.183,03 30.974,,,,,14 16,03 31,14 16.183,03 30.974,Dogon project,Bandiagara,,,,Nantoumbe,"village on elevation in plateau; farming and herding, gardens; school; settled from Kamma-Taba",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Guine-Wolo,,,,,,,gìnɛ̀-wólò,14.359,-3.484,0.987,0.149,21.0,29.0,21.987,29.149,14,03,14 21.987,03 29.149,,,,,,,14 21.987,03 29.149,Dogon project,Bandiagara (not shown),,,,Kassogué,"village on rocky plateau; farming and herding, dam, gardening; settled from Indely and Soninghé",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Kalibombo,,,,Kalibombò,,Kalibombo,kàlìbɔ̀mmɔ́,14.392,-3.601,0.964,0.102,23.0,36.0,23.964,36.102,14,03,14 23.964,03 36.102,,,,,14 24,03 37,14 23.964,03 36.102,Dogon project,Bandiagara,,,,"Djiguiba, Karambe",village on hill in plateau; farming and light herding; wood brought to nearby Bandiagara for sale,,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Kamba-Bandie,,,,,,Kamba-Bandié,kàmmà-bánjèŋ,14.424,-3.391,0.795,0.802,25.0,23.0,25.795,23.802,14,03,14 25.795,03 23.802,,,,,,,14 25.795,03 23.802,Dogon project,Bandiagara,,,,Djiguiba and Nantoumbe,"village on plateau, on road Sangha to Bandiagara; farming and herding; gardening (onion, tobacco, mango); zaban fruits collected from shrubs (Saba senegalensis) among boulders",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Kamba-Diguili,,,,,,Kamba-Dyiguili,kɔ̀mmɔ̀-dígìlì,14.423,-3.408,0.704,0.859,25.0,24.0,25.704,24.859,14,03,14 25.704,03 24.859,,,,,,,14 25.704,03 24.859,Dogon project,Bandiagara,,,,Nantoumbe,"village on plateau, on road Sangha to Bandiagara; farming and herding; gardening (onion, tobacco, mango); zaban fruits collected from shrubs (Saba senegalensis) among boulders; campement",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Kokolo,,,,Kòkòlò,,Kokolo,kɔ̀kɔ̀lɔ́,14.407,-3.536,0.784,0.279,24.0,32.0,24.784,32.279,14,03,14 24.784,03 32.279,,,,,14 25,03 33,14 24.784,03 32.279,Dogon project,Bandiagara,,,,Ouologuem,"village on plateau overlooking river that flows to Bandiagara, on road Sangha to Bandiagara; extensive gardens (onion, tobacco)",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Kolountanga,,,,,,Kolountanga,kɔ̀lúntàŋà,14.334,-3.523,0.144,0.642,20.0,31.0,20.144,31.642,14,03,14 20.144,03 31.642,,,,,14 20,03 32,14 20.144,03 31.642,Dogon project,Bandiagara,,,,Karambe,"village inrocky prominence in plateau; farming and herding, dam, gardening (onions); no mosque or church",,,,,,
,Dogon,,Donno So,,dds,"Donno So, Kamma So",,MLI,Korou,,,,,,Korou,kó:lù,14.303,-3.452,0.313,0.27,18.0,27.0,18.313,27.270,14,03,14 18.313,03 27.270,,,,,,,14 18.313,03 27.270,Dogon project,Bandiagara,,,,Banou,"village on plateau, almost adjacent to Guimiri-Kan speaking Dourou Tanga (3)",,,,,,
