code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,order,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno-So (Yendouma, JH and DT)",Ibi-So (JH),Donno-So,Tomo Kan (Segue),Tomo Kan (Diangassagou),"Tommo So (Tongo Tongo, combined)","Tommo So (Tongo Tongo, JH)",,"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Bendiely, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)",Mombo JH,"Mombo (Songho, KP)","Ampari (Nando, JH)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,"Bangime (Bounou, JH)","Bangime (Bounou, AH)",,HS Songhay,TSK Songhay,,species,family,book p.,synonymy,comment,domain,specimen
fauna,"bird 04 (francolin, bustard)",faune,"oiseau 4 (francolin, outarde)",201,11,1,,,60144,,,2011,,guinea-fowl,pintade,,yǔŋ,o᷈:-m\\o᷈:,ɔ̀rⁿɔ́ ô:-m,àŋî,,ɲa᷈:m,ɲâm,ɲâ:m,,"ɲàkɛ̌ⁿ, ɲàŋɛ̌ⁿ",yàgǎm,ɲàŋǎwⁿ,yàkúmɔ̀,ɲàʔⁿá,ɲáŋà:,ɲàŋàmá,ɲàŋàmá,,ɲàŋàmá,àgúmà,yùrkúmɛ̀,òmò,ǎ:mà\\ǎ:mà-mbò,álmá,á:nù,á:nù ,dɔ̂wⁿ,dɔ̂wⁿ,ʔ̀ámúnù,àmùnù,,píyɛ̀,,,cìrò:-bìyà [tone],"kìrò-bí: (""bird-black"")",,Numida meleagris,"Aves, Phasianidae",119,,in towns but also wild,fauna (bird),
fauna,"bird 04 (francolin, bustard)",faune,"oiseau 4 (francolin, outarde)",201,11,5,,,60145,,,2011,,stone partridge,poule de rocher,,ògùrù èsěy,"tɔ̀rɔ̀-wàŋgérè-m\\wàŋgérè (""mountain-waddling"")",wàŋgúrù-m,bɛ̀gírí-bɛ᷈: (onomatopoeic),,"ɔ̀:rⁿɔ̀-ɛ̀ɲɛ́ (""monkey-chicken""), wɛ̀gùrú-wɛ̂y",sùgù-pèrêm,,,,,,wɛ̀ŋgílɛ̀,wɛ̀ⁿcílɛ́ⁿ,wⁿàŋgèléⁿ,wàŋgílé,wàŋgílé,,"tɛ̀ɲjúgú, tɔ̀gɛ́ɛ̀",wèŋkúlù-gù,tɛ̀:yá,tɛ̀:lìyà,wàŋgá\\wàŋgá-mbó,wàŋgùlú,wáŋgùlè,wáŋgùlé ,wé gùrù,wě: gúrú,wágúlè,,,"síméⁿ-súɥɛ̀: (""rock-chieken"")",,,"tónd-ó gônj-íyà (""stone's chicken-Dimin"")",wàŋgâ,,Ptilopachus petrosus,"Aves, Phasianidae",125,,,fauna (bird),
fauna,"bird 09 (roller, hornbill)",faune,"oiseau 9 (rollier, calao)",201,16,7,,,60146,,,2011,,green wood-hoopoe,irrisor moqueur,,,,,,,,bìrɛ̂m-dɔ̂ŋ,,,gɔ̀dɔ̀-gɔ́dɔ́,àmgêwⁿ,,,,,"sàdàà pɔ̀mbɔ̀-tɔ̀gú (""bird tree.hole-drill"", more usually applied to woodpecker)",,,"sàdàà pɔ̀mbɔ̀-tɔ̀gú (""bird tree.hole-drill"", also woodpecker)","yìmìl-gɔ̌m (Bendiely), gɔ̀lɔ̀ŋ-gàláŋ (Kundiala)",,òy-sà:ⁿzíyà,,wáyè,,,gɔ̀rɛ́ŋgɔ̀rɛ́,gɔ̀rɛ́ gɔ̀rɛ́,,,,"à-dɔ̀rɛ̀-mɛ́ndá-sɥì-sɥì (""bird that stutters"")",,,,,,Phoeniculus purpureus,"Aves, Phoeniculidae",248,,,fauna (bird),
fauna,"bird 09 (roller, hornbill)",faune,"oiseau 9 (rollier, calao)",201,16,8,,,60147,,,2011,,black wood-hoopoe,irrisor noir,,,,,,,,,,,,,,,"yà:rú bɔ̀lɔ̀-ʔɔ́ⁿ ((""Yarou[village]-rear-rotten"")",,,,,,,,,,,kàŋgàrà-kâyⁿ,káŋgárá kâyⁿ ,,,,"tɔ̀gù-dúmbúm, pìríyè",,,,,,,,Rhinopomastus aterrimus,"Aves, Phoeniculidae",248,,,fauna (bird),
fauna,"bird 10 (barbet, lark)",faune,"oiseau 10 (barbican, alouette)",201,17,5,,,60148,,,2011,,fine-spotted woodpecker,pic à taches noires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Campethera punctuligera,"Aves, Picidae",269,,,fauna (bird),
fauna,"bird 10 (barbet, lark)",faune,"oiseau 10 (barbican, alouette)",201,17,4,,,60149,,,2011,,little grey woodpecker,pic gris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dendropicos elachus,"Aves, Picidae",273,,,fauna (bird),
fauna,"bird 10 (barbet, lark)",faune,"oiseau 10 (barbican, alouette)",201,17,3,,,60150,,,2011,,grey woodpecker,pic goertan,,,,tí:-tà:-tóró-m,"gìmbè-dógî lì:gì (""headache's bird"")",,"kóm-[tì-tɔ́gù] (""tree.hole-peck"")",,,,tɔ̀gù-nà:-tɔ́gú,,,,hɔ̀mbɔ̀-tɔ̀ŋgɔ̀lɔ́,"sɛ̀jìⁿ hɔ̀mbó-tɔ́gɔ́lɔ́ (""bird tree.hole-dig"")","sàdàà pɔ̀mbɔ̀ tɔ̀gú (""bird tree.hole-drill"")","sàdàà pɔ̀mbɔ̀ tɔ̀gú (""bird tree.hole-drill"")",,"sàdàà pɔ̀mbɔ̀ tɔ̀gú (""bird tree.hole-drill"", also wood-hoopoe)",bòmbò-[tɔ́gù-tɔ̀gù],pómbó-tògé:,"bòmbò-tɔ́gù, gòmbò-tɔ́gɔ̀","pɔ̀mbɔ̀-dógò\\pɔ̀mbɔ̀-dógò-mbò (""hole-peck"")",tòŋgà:-tóŋgì,,,pɔ̀mbɔ̀rɔ́ tòmbù,pɔ̀mbɔ̀rɔ́ tómbò,xxx,,,"à-dɔ̀rɛ̀-mɛ́ná-à-dʷà:-n-tóŋgó (""bird that pecks wood""),à-dʷà:-n-tòŋgó dɔ̀rɛ̀:",,,,,,Mesopicos goertae,"Aves, Picidae",273,Dendropicos goertae,,fauna (bird),
fauna,"bird 10 (barbet, lark)",faune,"oiseau 10 (barbican, alouette)",201,17,6,,,60151,,,2011,,woodpecker (all spp.),pic (toutes spp.),,,tó:-tà:-tó:-m\\tó:-tà:-tó: (onomat.),,,,,tìwⁿɛ-tógúgógú,kóm-[tí-tɔ́gú],,,kòm-tɔ́gɔ́nɛ̀,,xxx,,,,,,,,,,,,dɔ̀ŋgù-màn-dɔ́ŋgú,dòŋgù-màn-dóŋgù ,,,bɔ̀ŋgɔ̀-tógò,tɔ̀ŋgù-màn-tɔ́ŋgù,,,,,,tí:-tà:-tóró,,,"Aves, Picidae",273,,,fauna (bird),
fauna,"bird 13 (sparrow, weaver)",faune,"oiseau 13 (moineau, tisserin)",201,20,6,,,60152,,,2011,,white-billed buffalo-weaver,alecto à bec blanc,,sí:ⁿsà:ⁿ,bìrà:ndɔ̀ŋú-m\\bìrà:ndɔ̌ŋ,,"pármá-gùnjɛ̌y (""...-praise""), bírɛ̂:ŋ-dɔ̀ŋgì",,sà-gùmó,sày jèm kómbó,sà:-gùmɔ́,,gémérⁿémá,sà-gùmɔ́,sà-kùmó,,sàjù yà-kwélé,"sàjù yà-kóléyá (""bird woman-disliked"", not eaten by people)",sàdàà sɔ̀ŋɔ́lɔ̀,sàdàà sɔ̀ŋɔ́lɔ̀,,,sàsákùmbò,gàŋgàm-dɔ̀njɛ́,àɲàn-bìrɛ̀-mà-dɔ̀ŋ,kɔ̀ŋgɔ̀lɔ́ (Mougui),níye vè-sɛ́mbɛ̀,"[none, see ",nà: ínì  ,,,,kɛ̀-kɛ̌:rɛ̀ ~ kɛ́:-kɛ̌:rɛ̀,,"à-bɔ́n-dɔ̀rɛ̀:, à-bɔ́n-dɔ̀rɛ̀: pɔ́:rɛ̀ (""... black"")",,,,,,Bubalornis albirostris,"Aves, Ploceidae",447,,,fauna (bird),
fauna,"bird 13 (sparrow, weaver)",faune,"oiseau 13 (moineau, tisserin)",201,20,8,,,60153,,,2011,,northern red bishop (bird),ignicolore (oiseau),,sày dònó,"nì:yⁿì búrú-músú:rɛ̀-m\\búrú-músú:rɛ̀ ~ nì:yⁿì gúrú-músú:rɛ̀-m\\gúrú-músú:rɛ̀ (""bird Muslim.veil"")",nì:yì-bùmbàrǔ-m,"lì:gì bárⁿí (""bird red"")",,"[ɲù:-pírú]-[sá:j-î:ⁿ] (""[millet-white]'s bird""), [wàrà-gó-m]-[tɔ̀:-gó-m]-[mí-lá:-ɲú:-nɛ́wⁿɛ̂:] (""I don't farm, I don't sow, I am first to taste the millet""), [wàrà-gó-m]-[tɔ̀:-gó-m] (""I don't farm, I don't sow"")",gìrⁿè-[sà-sǎy],,,,gòlò-lɛ̂: (also village weaver),xxx,,,,sàdàà àlíí-bàdàrà,sàdàà àlíí-bàdàrà,,,"èwé lásùgù (""children's ..."")","pɛ́ndɛ́ àdè: (""grass.sp. bird"")",,dôn-dôn (Mougui),yò:gè nìyé,"sè:ŋgè-ínì (""millet bird"")",,,,xxx,bìrbɔ̀mbɛ̀,,"yɛ́d dɔ́rɛ̀, à-bɔ́n-dɔ̀rɛ̀: búyɛ́ (""... red"")",,,,"ʔàlǎy wⁿàndé\\wⁿánd-ǒ: (""Allay's wife"")",,Euplectes franciscanus,"Aves, Ploceidae",449,Orix franciscanus,sits on millet spikes before they are ripe,fauna (bird),
fauna,"bird 13 (sparrow, weaver)",faune,"oiseau 13 (moineau, tisserin)",201,20,1,,,60154,,,2011,,grey-headed sparrow,moineau à tête grise,,sày-pìrì dòlùrú,"nì:yⁿì pìlɛ̀ dùgû-m\\dùgú-yɛ̀ (""bird white big"")",nì:yì-pópòríyè-m,"lì:gì kù:-[gòrò-górô] (""bird head-big"")",,lì-lôm,pìrìsì:ⁿ kú:-dúgù,[yù:ⁿ pírú] sà:ⁿ-sî:ⁿ,,bùgú-tɔ̀rɔ̀,tòy-bùrǒy,sì-sà: gùnɔ̌n,pòndúŋ-gò:lò,sɛ̀jìⁿ-búʔétírí,sɛ̀jìⁿ bùgú-tírì,kɔ́rɔ̀nì,xxx,,kɔ́rɔ̀nì,"pòndò-gólò, pòndò-gòlò gèɲúm-pìlɛ̀ŋ","àd pìlɛ̀ bìnɛ́: (""bird white big"")",sàkòlòl-íyè,nì: túgúnɛ́ (Mougui),"ɛ̀rɛ̀gɛ̀ nìyé (""rice bird"")",ìnì ɲìŋgìlímà,,ní: pòtòròmá tòmbò,ní:` pótórómá tómbò,xxx,nèjjè pù: (one of several grain-eating birds),,tɔ́n-tòrê: (also bulbul),,,"bèl-èy cìkìríy-à: ~ bèl-èy cìkíry-à: [tones], kikir-bel-o [not in dict]","gǎw-kɔ̀ndɔ̂ (""hunter-..."")",,Passer griseus,"Aves, Ploceidae",431,,in houses and fields,fauna (bird),
fauna,"bird 13 (sparrow, weaver)",faune,"oiseau 13 (moineau, tisserin)",201,20,2,,,60155,,,2011,,golden sparrow,moineau doré,,sày pírì:,,,,,"[yɔ̀rɔ̀-pìrⁿé]-[sá:j-î:ⁿ] (""yellow bird"")",sɔ̀sɔ̀níyⁿà,,,,,,,,,"mɛ́ɛ́ɲí, yúú sàdàà (""millet's bird"", one of several)",yúú sàdàà (1 of 4),,mɛ́ɛ́ɲí,,,,,nìyè mɛ́njí,,,,níwⁿí ɲɔ̀wⁿɔ́,,nèjjè pù: (one of several grain-eating birds),,à-dɔ̀rɛ̀-bírbɛ̀: (also Quelea),,,,"gǎw-kɔ̀ndɔ̂ (""hunter-..."")",,Passer luteus,"Aves, Ploceidae",431,,"millet-eater, in flocks",fauna (bird),
fauna,"bird 13 (sparrow, weaver)",faune,"oiseau 13 (moineau, tisserin)",201,20,4,,,60156,,,2011,,village weaver (bird),tisserin gendarme,,sày dònó,pòrú-yòló-m\\-yòló,bàrùkɔ̀mbɔ̌-m,"[ɔ̀gɔ̀-tɔ̀gɔ̀]-gùndá (""stork-slave"")",,"jìré-bàn-jɔ́:ŋɔ́ (""eye-red-very.red""), [yɔ̀rɔ̀-pìrⁿé]-[sá:j-î:ⁿ] (""yellow bird"")",sà-sà: yɔ̀:rɔ́,,,sàjì:ⁿ sè:gú,gòlò-lɛ̂: (also red bishop),sì-sà: kòrù-jélén,gòllé,"jùⁿ-sɛ̀jíⁿ (""tree.sp.-bird"")","kòŋgò-sɛ̀jíⁿ (""borassus.palm-bird"")",sàà gòlòlíyó,sàà gòlòlíyò,,gòlòlíyó,gólò,àd bɔ̀gɔ́,sàkòlòl-íyè,"nì:-nǒ:lè\\[nì:-mbò]-[nǒ:l-mbò] (""bird Parkia.tree"", from yellow color of male birds), nì:-sójá\\[nì:-mbò]-[sójá-mbó]",só:sá,sɛ́mbɛ̀ì-ìnì,có:cà ínì ,tóróyⁿá,tóróyⁿá,xxx,"nèjjè pòrò-púnà (""bird-yellow"")",,à-bɔ́n-dɔ̀rɛ̀:,,,sù-sù:r-ò,zǎŋkà,,Ploceus cucullatus,"Aves, Ploceidae",436,,most conspicuous of several similar spp.,fauna (bird),
fauna,"bird 13 (sparrow, weaver)",faune,"oiseau 13 (moineau, tisserin)",201,20,5,,,60157,,,2011,,"little weaver, slender-billed weaver (bird)",tisserin minule,,sày síttì,"bàr-kɔ̀mbɔ̌-m\\bàr-kɔ̀mbɔ́ (""...-war.party"", because in flocks)",,,,"[yɔ̀rɔ̀-pìrⁿé]-[sá:j-î:ⁿ] (""yellow bird"")",,,,sàjì:ⁿ sè:gú,,,,,"kòŋgò-sɛ̀jíⁿ (""borassus.palm-bird"")",,,,,,,,"nì:-nǒ:lè\\[nì:-mbò]-[nǒ:l-mbò] (""bird Parkia.tree"", from yellow color of male birds)",,,,,,,,,,,,,,,Ploceus luteolus,"Aves, Ploceidae",432,,,fauna (bird),
fauna,"bird 13 (sparrow, weaver)",faune,"oiseau 13 (moineau, tisserin)",201,20,7,,,60158,,,2011,,black-faced dioch (bird),travailleur à bec rouge (oiseau),,"bátàlɔ́tà, bátàlɔ́tɛ̀, sày mɔ̀sí:","bùrúgù nì:yⁿì-m\\nì:yⁿì (""Bourgou.village's bird"")",nì:yì yù:-ɲɛ̌-m,,,"bí-bí:jù, ká:-bân (""mouth-red""), [sà:j-ì:ⁿ]-[ká:-bân] (""bird mouth-red"")",sɔ̀sɔ̀níyⁿà,,,ɲú: sájú,kɛ́ndùm,,,"ʔìnjà-jùgò-sɛ̀jíⁿ (""millet-peck-bird"")",,,,,,,búrgú àdè:,,"búrgù nì:-mbò (""bourgou.grass's birds"")",nìyè mɛ́njí,,,nìwⁿí ɲɔ̀wⁿɔ́,,xxx,nèjjè pù: (one of several grain-eating birds),,à-dɔ̀rɛ̀-bírbɛ̀: (also sparrow),,,"àlhìnì-hàw-k-íyà ~ àlhìn-hàw-k-íyà (""henna-tie[apply]-Agent-Dimin""), kóbbálgítê","zǎŋkà, mù:nì-[hìŋk-íyà] (""anus-two-Dimin"", since it defecates a lot), kíró-fùtú (""bird bad"")",,Quelea quelea,"Aves, Ploceidae",447,,"millet-eater, in flocks",fauna (bird),
fauna,"bird 13 (sparrow, weaver)",faune,"oiseau 13 (moineau, tisserin)",201,20,3,,,60159,,,2011,,scaly-fronted (speckle-fronted) weaver,moineau quadrillé,,sày dònó,"kàgàrà-ka᷈y [kù: pìlɛ̀-m]\\pìlè (""gravel's head white""), kàgàrà-ka᷈y [kù: pèrù-m]\\pèrù (""gravel's head hard"")",,,,"kú:ⁿ-[kɔ̀wⁿɔ̀-sɛ́ŋɛ̀] (""head-[macari-sediment]"", speckled head resembles sediment from macari spice after the liquid is poured into the pot)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mà:rù-[kɔ̀:ríy-ǎ:] (""cheetah-white-Dimin"")",,Sporopipes frontalis,"Aves, Ploceidae",431,,,fauna (bird),
fauna,bird 14 (finch),faune,oiseau 14 (petits passerins),201,21,8,,,60160,,,2011,,village indigobird,combassou du Sénégal,,,"nì:yⁿì sé:kù-m\\sé:kù (""bird Sekou"", said to guide other birds, like the great holy man Sekou)",nì:yì jɛ́mɛ̀-m,"lì:gì jɛ́mí (""bird black""), gàrá lí:gì (""indigo's bird""), lì:gì-súrgá (""bird-weaver"")",,"gàrá-[sá:j-î:] (""indigo-bird"")",yàr-gɔ̀:rò sà-sǎy,sa:ⁿ-sì:ⁿ dùrɔ́-gúrù,,,"[sì-sà:]-gàrá (""bird-indigo"")",,sàdà: gàlá,"̀bùnà-ʔàlà-sɛ̀jíⁿ (""fetish bird"")","gɔ̀:ⁿ-sɛ̀jî:ⁿ (""blacksmith-bird"")",,,,kɛ̀nnɛ́ dúmbù xxx[verify],,,bàndèyⁿ sà:-jěm,"ánà:-sèjì (""men's aunt"", Adia), yàwó: sèjì (""women's aunt"", Kubewel)","gálá nìyé (""indigo bird"")",,,nǐ: gárà,ní: gárà,,"àmànà-néjjè (""God-bird"", 1 of 3)",,"à-pù:yɛ̀-pɔ́:rɛ̀ (""sparrow-black"")",,,,"mǎ:rù-bî: (""cheetah-black"")",,Vidua chalybeata,"Aves, Ploceidae",469,,parasitic on Lagonosticta,fauna (bird),
fauna,bird 14 (finch),faune,oiseau 14 (petits passerins),201,21,10,,,60161,,,2011,,pin-tailed whydah (esp. breeding male),veuve dominicaine (surtout mâle),,,"nì:yⁿì dúrɔ̀-gúrɔ̀-m\\-gúrɔ̀ (""bird tail-long"")",,"lì:gì dúrâ-gúrɔ̂ (""bird tail-long"")",,,nǎ: dɔ̀rⁿɔ̀ dùrɔ́ ɛ̀wɛ̀,,,,,,gàsénnù,,,,,,,,,,"nì: [[mó sèjì] túlɛ̀-mbò] [dúlɔ̀: dɔ̀nɛ̀] (""bird [it-sold-its-aunt-and-bought-a-tail"")",,,dùlòmá sèndè ,kà:ró kùnjây,kàró kúnjây,xxx,,,"nɛ̀pàrí-sòŋgô:, á-dɔ̀rɛ̀:-mɛ́:-bɔ̀:-à-dí:sà",,,"kà:g-ò-né:ré-ẁ-déy-ʔànzùf-ò (""he sold his grandmother to buy a tail"")",,,Vidua macroura,"Aves, Ploceidae",469,,breeding male has exaggerated tail,fauna (bird),
fauna,bird 14 (finch),faune,oiseau 14 (petits passerins),201,21,11,,,60162,,,2011,,Sahel paradise whydah (esp. breeding male),veuve à collier d'or (surtout mâle),,nànâm-dɔ́rì:,,"ánárⁿà tíyɛ́ ní dúrà ɛ̀wɛ̀, nì:yì dúrà-gùrⁿàw","[[á dê:] túrɔ́ ŋ́] [dúrâ ɛ̀wɛ̀] (""sold her mother, bought a tail""), lì:gì dúrâ-gúrɔ̂ (""bird tail-long"")",,,,,,,,,,"sɛ̀jìⁿ gɔ̀:ⁿ-ʔá:ⁿ (""bird griot"")","sɛ̀jìⁿ jìlá-gɛ́bɛ́ (""bird tail-long"")",,,,,,,,,,,,kà:ró kùnjây,,,,,,,,,,,Vidua orientalis,"Aves, Ploceidae",469,,breeding male has exaggerated tail,fauna (bird),
fauna,bird 14 (finch),faune,oiseau 14 (petits passerins),201,21,12,,,60163,,,2011,,long-tailed whydah sp. (male in breeding plumage),veuve à longue queue sp. (mâle),,,,,,,"[dúrɔ́-gúrù]-[ná:-têyⁿ] (""[tail-long]-[body-small]"")",,,,sàjù gɔ̀:mbɔ́ⁿ,"sì-sà: dúlɔ̀-pàlà (""bird tail-long"")",,,,,"sàdàà dúlɔ́ pálà (""bird tail-long"", male has long tail in breeding season, same term for roller which is much more common)",sàdàà dúlɔ́ pàlà,,"sàdàà dúlɔ́-pálà (""bird tail-long"", male has long tail in breeding season, same term for roller which is much more common)",sé:rgɔ̀,,,,síkàrà,,,,,,sɛ́ⁿ-sɛ̂:ⁿ xxx[check],,,,,,,,Vidua sp.,"Aves, Ploceidae",469,,breeding male has exaggerated tail,fauna (bird),
fauna,"bird 06 (pigeon, parrot, coucal)",faune,"oiseau 6 (pigeon, perroquet, coucal)",201,13,10,,,60164,,,2011,,Senegal (=yellow-bellied) parrot,youyou (perruche),,,,,bà-bá,,,,sàgǒ:,,,sà-kô:,,,gwè:,gwèlé,sàdàà  kòé,sàdàà  kòé,,"sàdàà góé, sàdàà kòé (JH < Ramata)",sà:kó,sà-kǒy,sà:-kòyè,"bɔ̀rɔ̀-kúmbú kùy ~ bɔ̀rɔ̌: kùy\\kùy-mbò (""lowland's parakeet"")",kóyé,,,gô:,gô:,,gwè:,,kʷɔ́kɛ̀,,,,,,Poicephalus senegalus,"Aves, Psittacidae",197,,,fauna (bird),
fauna,"bird 06 (pigeon, parrot, coucal)",faune,"oiseau 6 (pigeon, perroquet, coucal)",201,13,9,,,60165,,,2011,,rose-ringed parakeet (=Senegal long-tailed parrot),"perroquet, perruche à collier",,dàlkàwòysá,,,bà-bá,,sà-gǒ:,mǎŋgórò wà sà-sǎy,,,sà:-gɔ̌ⁿ,,,sà:gǒ:,gwè:,gwèlé,"sàdàà  kòé, sàdàà gòlòlíyó",sàdàà gòlòlíyó,,"sàdàà góé, sàdàà kòé (JH < Ramata)","sà:kò dúlɔ̀-jálà (""parrot tail-long"")",,sà:-kòyè,kûy\\kûy-mbò,kóyé,gôy,gôy ,kájì,kájì,xxx,gwè:,,"à-kɔ̀kɛ̀ tí:ⁿ-bɛ̀ndɛ̀ (""parrot tail-long"")",,,zìnzìmòkk-ò,,,Psittacula krameri,"Aves, Psittacidae",197,,,fauna (bird),
fauna,"bird 05 (lapwing, sandgrouse)",faune,"oiseau 5 (vanneau, ganga)",201,12,11,,,60166,,,2011,,chestnut-bellied sandgrouse,ganga à ventre brun,,,sùpúrúgú-m,sù: yàpùràrí-m,,,"pì-pɔ̀tú (""mud"")",,,,,"òl-ɛ̀ɲɛ́ (""outback-chicken"")",,,bɛ̀lìⁿ-pérédé,bɛ̀lìⁿ-pérédé,,,,,pɛ̀r-pɛ́r-gù,bàrà-kǎy,sùgù pérèy,, wèlè-wélè ,,,bɛ̀dɛ̀rɛ̀-bɛ̂y,bédérébêy,xxx,[bɛ̀-bɛ̀rɛ̀]-bɛ̀y,,,,,,,,Pterocles exustus,"Aves, Pteroclididae",187,,,fauna (bird),
fauna,"bird 05 (lapwing, sandgrouse)",faune,"oiseau 5 (vanneau, ganga)",201,12,12,,,60167,,,2011,,four-banded sandgrouse,ganga quadribandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,nǐ: bɛ́tì,ní: bétì,,,,,,,,,,Pterocles quadricinctus,"Aves, Pteroclididae",187,,,fauna (bird),
fauna,"bird 05 (lapwing, sandgrouse)",faune,"oiseau 5 (vanneau, ganga)",201,12,13,,,60168,,,2011,,sandgrouse (two spp.),ganga (deux spp.),,púttò-púttó:rù,,,sùgì bègèrè-be᷈:,,,sùgù-pìrìsî:ⁿ,,,,,tɔ̀rú-tɔ̀rù,pɛ̀rù-pɛ́rù,,,"tɛ̀ɲjùgù pèèrèý (""... is.not.old"")","tɛ̀ɲjùgù-pèèrèý (""... is.not.old""), tùnjù pèrè-pèrěy",,"tɛ̀ɲjùgù pèèrèý (""... is.not.old"")",,,,pàpéré (Mougui),,bɛ́bɛ́rɛ́-bɛ̂y,bɛ́bɛ́rɛ́ bɛ̂y  ,,,,,,"tì:ⁿ-péré (""Borassus-..."")",,,pùrtù-púrtù,bárì-fíró,,Pterocles sp.,"Aves, Pteroclididae",187,,,fauna (bird),
fauna,"bird 11 (bulbul, robin, warbler)",faune,"oiseau 11 (bulbul, merle, fauvette)",201,18,2,,,60169,,,2011,,bulbul,bulbul,,,"nì:yⁿì màŋgòrò-sɔ̀gú-m\\-sɔ̀gú (""bird mango-pecker"")",,pón-dóŋ-pòríyê,,,pìrì-sî:ⁿ,,,,"[sì-sà:]-pìlí (""bird-white"")",,pòndúŋ-gò:lò,cɔ̀rɔ̀-kòlɛ́ⁿ (also cuckoo),sɛ̀jìⁿ bùgú-tírì,"sàdàà yùù-mìnú (""bird millet-swallow"", 1 of several), nɔ́ɔ́gú",sàdàà yùù-mìnú,,nɔ́ɔ́gú xxx[verify],póndó-gólò (cf. Passer griseus),bòndòm-bɔ̌y,àɲàn tíkòrǒy,,tògòlò-gúmbà,[??],bà:swɔ̌y  ,nǐ: pótórómá,ní: pótórómà,xxx,,,"tɔ́n-tòrè: (also sparrow), tántòrè: dègé-pɔ̀:rɛ̀ (""... head-black"")",,,,,,Pycnonotus barbatus,"Aves, Pycnonotidae",302,,,fauna (bird),
fauna,"bird 04 (francolin, bustard)",faune,"oiseau 4 (francolin, outarde)",201,11,7,,,60170,,,2011,,black crake,râle noir (marquette noire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amaurornis flavirostra,"Aves, Rallidae",130,Limnocorax flavirostra,,fauna (bird),
fauna,"bird 04 (francolin, bustard)",faune,"oiseau 4 (francolin, outarde)",201,11,9,,,60171,,,2011,,moorhen,poule d'eau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"míl-míl-ò, wáyríndíyâm",,,Gallinula chloropus,"Aves, Rallidae",134,,,fauna (bird),
fauna,bird 03 (hawk),faune,oiseau (rapace),201,10,24,,,60639,,,2011,,secretary bird (hawk that preys on snakes),"serpentaire (rapace), messager sagittaire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zèmdúrú,,Sagittarius serpentarius,"Aves, Sagittariidae",81,,,fauna (bird),
fauna,"bird 01 (heron, stork)",faune,"oiseau 1 (héron, cigogne)",201,8,16,,,60172,,,2011,,hamerkop,ombrette,,,,,,,bùrà:dɔ̌ŋ,,,,,,,,,,,,,,,,,,,[???],yàsɛ́gɛ̀ hɛ́jày  ,,,,sɔ̀:mbúlɛ̀,,dɔ̀:rɔ̀-píndò,,,,,,Scopus umbretta,"Aves, Scopidae",57,,,fauna (bird),
fauna,"bird 07 (owl, nightjar)",faune,"oiseau 7 (hibou, engoulevent)",201,14,3,,,60173,,,2011,,desert eagle-owl,grand duc du désert,,yⁿà:ŋà-dúrú,,,,,,ɛ̀ndúrⁿù,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bubo ascalaphus,"Aves, Strigidae",219,,,fauna (bird),
fauna,"bird 07 (owl, nightjar)",faune,"oiseau 7 (hibou, engoulevent)",201,14,2,,,60174,,,2011,,vermiculated (or: greyish) eagle-owl,grand-duc du Sahel (ou: grand-duc gris) (hibou),,yⁿà:ŋà-dúrú,"ɛ̀dùnù jìŋgě-m (""owl-..."")",àdùrù dìŋgé-m,dùrⁿɔ̂,,"dûn, dùn jɛ́m (""owl black"")",ɛ̀ndúrⁿù,dùn-gìŋɛ́,,,dûn,,,dùní,,dùnù gɛ́m,dùnù gɛ́m,,ɛ̀n dúnú,dúnùŋ,dùnyá:,ɛ̀ndûn,"dǔndè\\dǔndù-mbò, dùndè gìndɛ́:\\dùndù-mbò gìndɔ́: (""owl big"")",dǔ:ⁿ,dúnú,dùnú ,dúndú,dúndú,,,,gūmbí,,,tú-tú:r-ó [tones],ʔàn-dû:ⁿ-dû:ⁿ,,Bubo cinerascens,"Aves, Strigidae",219,,common; seen at Anda,fauna (bird),
