Multilingual,lg family,Language (group),alternate lg (group),Language (based on native name),OfficialVillageName,Transcribed Village Name,N Lat,W Lon,lg comment,industries,weekly market,surnames,social info
,Dogon,Donno So,,"Donno So, Kamma So",Pelou,pɛ̀:lú,14.337,-3.439,,,,Tembély,"village on elevation in rocky plateau; farming and herding, dam, gardening; school; settled from Kamba-Sende"
,Dogon,Donno So,,"Donno So, Kamma So",Pouralgu,púrɔ̀lù,14.384,-3.542,,,,"Nantoumbe, Djiguiba, Sagara","village on rocky plateau; farming and herding, dam, gardening; settled from Kamba-Diguiri"
,Dogon,Donno So,,"Donno So, Kamma So",Saréma,sàrémmà,14.416,-3.421,,,,,
,Dogon,Donno So,,"Donno So, Kamma So",Sassadi,sàsàrí,14.306,-3.567,,,,"Djiguiba,Tebsougué [tèbsúgè]","village in plateau; farming and herding, dams, gardening"
,Dogon,Donno So,,"Donno So, Kamma So",Sassambourou,sàmbúrù,14.300,-3.485,,,,"Yebedie, Kassogue",village on plateau; gardens (onions)
,Dogon,Donno So,,"Donno So, Kamma So",Sibi-Sibi,síbì-sìbì,14.325,-3.553,,,,"Djiguiba, Karambe","village on plateau; extensive gardens (onion, some chili pepper)"
,Dogon,Donno So,,"Donno So, Kamma So",Sinde,séndè,14.420,-3.417,,,,Ouologuem,"village on plateau, on road Sangha to Bandiagara; farming and herding; gardening (onion, tobacco, mango); zaban fruits collected from shrubs (Saba senegalensis) among boulders"
,Dogon,Donno So,,"Donno So, Kamma So",Sinkarma,sìŋkánùmɔ̀,14.373,-3.568,,,,Ouologuem,"village on plateau overlooking river that flows to Bandiagara, on road Sangha to Bandiagara; gardens (onion, tobacco)"
,Dogon,Donno So,,"Donno So, Kamma So",Sokolo,sɔ́gɔ̀lɔ̀,14.321,-3.570,,,,"Karambé, Yébédié","village in plateau; farming and herding, dams, gardening; settled from Yabso (abandoned, near Tonghon)"
,Dogon,Donno So,,"Donno So, Kamma So",Soroli,sóllù,14.436,-3.485,,,,"Guindo, Tapily, Kélépily, Kassogué",village on rocky plateau; farming and herding
,Dogon,Donno So,,"Donno So, Kamma So",Tabagolo,tàbágòlò,14.372,-3.655,,,,"Yebedie [yebeje], Togo, Nantoumbe, Kassogou, Kene, Guindo",village in low plateau; Yebedie hold the chiefhood; farming and herding
,Dogon,Donno So,,"Donno So, Kamma So",Tegourou,"tégùrù, tébgùrù",14.259,-3.606,,,,"Djiguiba, Karambe, Banou, Ouologuem, Kassogue, Tembely, Ouologuem, Nantoummé, Yebedié","village in plateau; school; farming and herding, gardens; settled from Kany-Bonzon"
,Dogon,Donno So,,"Donno So, Kamma So",Tongnon,tɔ́ɲɔ̀ŋ,14.358,-3.567,,,,"Kassogue, Nantoumbe",village on plateau on south side of river flowing to Bandiagara; farming and herding; gardening
,Dogon,Donno So,,"Donno So, Kamma So",Wede,wédè,14.356,-3.473,,,,Djiguiba,village in plateau; farming and herding
,Dogon,Donno So,,"Donno So, Kamma So",Wendegele,wèndègélè,14.359,-3.368,,,,Kelepili,village in rocky plateau; farming and herding
,Dogon,Donno So,,"Donno So, Kamma So","Wolo-wolo, Ouolo-Ouolo",wɔ̀lɔ̀-wɔ́lɔ̀,14.334,-3.508,,,,Djiguiba,"village on flat rocky area on plateau; farming and herding, dam, gardening; settled from Saréma (near Kamba)"
,Dogon,Donno So,,"Donno So, Kamma So",Yame,yámè,14.339,-3.488,,,,Djiguiba,"villageon elevation in rocky plateau; farming and herding, dam, gardening; settled from Gondodié"
,Dogon,Donno So,,"Donno So, Kamma So",Yelema,gìnɛ̀-yàlèmɔ́,14.417,-3.452,,,,Djiguiba,"small village on rocky elevation across the road from Lougourougoumbou; farming and herding; extensive gardening (onion, tobacco)"
,Dogon,Donno So,,Mendely So,Bissongo,bìⁿsúŋɔ̀,14.467,-3.393,,,,Kassogué,village on plateau
,Dogon,Donno So,,Mendely So,Boundou,bùndú,14.470,-3.384,,,,Kassogué,"village on plateau, adjacent to Tabitongo"
,Dogon,Donno So,,Mendely So,Dologou,dɔ̀lɔ̀gú,14.469,-3.406,,,,Kassogué,"village on plateau, chef-lieu of secteur of Mentely; school; gardens"
,Dogon,Donno So,,Mendely So,Donno-Mentely,dónnò,14.470,-3.406,,,,Kassogué,village on plateau near Dologou
,Dogon,Donno So,,Mendely So,Gondodié,gɔ́ndɔ̀,14.456,-3.402,,,market every 5 days,Kassogué,"village on plateau, dam and gardens (onion, tabacco)"
,Dogon,Donno So,,Mendely So,Kédiély,kèjélù,14.469,-3.408,,,,"Yanogué, Babadji, Napo, all leatherworks","village on plateau, predominantly leatherworker caste (cordonniers)"
,Dogon,Donno So,,Mendely So,Kondoli,kɔ̀ŋúlù,14.459,-3.384,,,,Kassogué,village on plateau
,Dogon,Donno So,,Mendely So,Moé,mɔ̂:,,,,,,,"cluster of two villages (upper and lower), school in between"
,Dogon,Donno So,,Mendely So,Moé (Lower),mɔ̀:-jóy,14.475,-3.419,,,,Kassogué,village on plateau
,Dogon,Donno So,,Mendely So,Moé (Upper),mɔ̀:-dá:,14.484,-3.417,,leatherworkers,,"Kassogué, Fofana (Dogon), Babadji (leatherworkers)",village on plateau
,Dogon,Donno So,,Mendely So,Molou,mɔ́:lù,14.458,-3.438,,,,Kassogué,village on plateau; school
,Dogon,Donno So,,Mendely So,Tabitonga,tàbìtɔ́ŋgɔ̀,14.470,-3.384,,,,"Kassogué, Yébéizé",village on plateau; school
,Dogon,Donno So,,Mentely-So,Dologou,dɔ̀lɔ̀gú,14.469,-3.407,,,,,village on stony section of plateau
,Dogon,Jamsay,,Amba Tey,Amba (Jamsay),à:mbá,14.788,-2.971,,,,,
,Dogon,Jamsay,,Gourou,Kiri,,13.966,-3.016,,,,,
,Dogon,Jamsay,,Gourou,Nyini,ɲìní,14.009,-3.136,"mostly Gourou but some Tengou Kan (Guindo surname), also some Mossi speaking blacksmiths",,,"Niangali, Dama, Djimde, and Bamadio (Gourou); Guindo (Tengou Kan); Sangaraba (Mossi blacksmiths)",village in plains; ; farming and herding
,Dogon,Jamsay,,Gourou,Orodourou,òròdúrú,13.966,-3.083,"majority Gourou but also some Togo Kan (Togo surname), Worou Kan (Poudiougo)",,"Sunday, local",Djimde and Niangali (Gourou); Togo (Togo Kan); Poudiogou (Worou Kan),village in plains; farming and herding
,Dogon,Jamsay,,Gourou,Pene,pê:n,14.150,-3.133,,,,,
,Dogon,Jamsay,,Gourou,Pongoro,pɔ̀ŋɔ̀rⁿɔ́,13.916,-3.033,,,,,
,Dogon,Jamsay,,Gourou,Tagousouwo,tàgú-sùwⁿɔ̀,13.966,-3.075,"Gourou, also some Togo Kan and Guimiri Kan",,,"Djimde (majority, Gourou), Togo (Togo Kan), Sagara (Guimiri Kan)",village in plains
,Dogon,Jamsay,,Gourou,Yadianga (Gourou),"yɛ̀jàŋá, gùrù-yɛ̀jàŋá",14.069,-3.187,mostly Gourou but some Guimiri Kan and Tengou Kan,,"Thursday evening, small","Dama, Niangali [ɲáŋálí], Djimde, and Bamadio (Gourou); Sagara (Guimiri Kan); Guindo (Tengou Kan)",village in plains; farming and herding
,Dogon,Jamsay,,Gourou (etc.),Koro,kɔ́rɔ́,14.058,-3.240,,,"Saturday, major regional market",,"large town and administrative center, mixed Dogon including Gourou, some Burkinabé"
,Dogon,Jamsay,,Jamsay,Akongoro Buro,àkɔ̀ŋɔ̀rⁿɔ́ búrò,14.639,-2.001,,,,,small hamlet of Mondoro
,Dogon,Jamsay,,Jamsay,Anakedie,àná-jè:jěy,14.452,-3.070,,,,"Dara, Doumbo",village on plains
,Dogon,Jamsay,,Jamsay,Anakila,àrⁿàkírɛ̀,14.570,-3.067,,,,"Guindo, Douyon, Doumbo",village in plains; farming and herding; gardens; well-known for manufacture of jujube cakes
,Dogon,Jamsay,,Jamsay,Aouguine,"àwgìnéy, àlàké:rú",14.758,-3.018,Jamsay dialect,,,Guindo,"village on plain, old village above in hill (two families left there) called ònùrⁿú; farming and herding; no gardening; village totems crocodile and one-testicled animals; annual ritual with sacrifice to totem; marriage with Temde village; Muslim, Christian, animist; weaving; healing (mental illness)"
,Dogon,Jamsay,,Jamsay,Bamba (Jamsay),bàmá,,,,,,,overall name for a large cluster of villages at the base of the mountain; not to be confused with the Songhay town on the Niger R. of the same name
,Dogon,Jamsay,,Jamsay,Bamba-Bantougou,bàtúgù,14.639,-3.092,,,,Guindo,"village at base of hill, part of ""Bamba"" cluster"
,Dogon,Jamsay,,Jamsay,Bamba-Belma,bèrⁿùwⁿú,14.640,-3.102,,,,Guindo,"village at base of hill, part of ""Bamba"" cluster;  large pond, mangoes"
,Dogon,Jamsay,,Jamsay,Bamba-Deguere,dégérè,14.641,-3.104,,,"Saturday, regional",Guindo,"village on lower slope and at base of mountain, part of ""Bamba"" cluster; school; ponds, mangoes"
,Dogon,Jamsay,,Jamsay,Bamba-Irekanda,ìrè-kàndá,14.650,-3.085,,,,Guindo,"village at base of hill, part of ""Bamba"" village cluster; school"
,Dogon,Jamsay,,Jamsay,Bamba-Koudianga,"kùnjàŋá, bàmà-kùnjàŋá",14.641,-3.087,,,,Guindo,"village at base of hill, part of ""Bamba"" village cluster; school"
,Dogon,Jamsay,,Jamsay,Bamba-Siguire,sìgírè,14.640,-3.088,,,,Guindo,"village at base of hill, part of ""Bamba"" cluster"
,Dogon,Jamsay,,Jamsay,Bamba-Togo,tò:gó,14.639,-3.101,,,,Guindo,"village at base of hill, part of ""Bamba"" cluster"
,Dogon,Jamsay,,Jamsay,Banai,bànǎyⁿ,15.002,-1.841,,,,Ongoiba,"village; there is another village of the same name (see ""Bania"")"
,Dogon,Jamsay,,Jamsay,Bangadie,báŋgá:jì,14.586,-2.105,,,,Goro,village
,Dogon,Jamsay,,Jamsay,Bania,bànǎyⁿ,14.609,-1.867,,,Thursday,Ongoiba,village; same native name as another Jamsay village
,Dogon,Jamsay,,Jamsay,Boumbam,búmbâm,15.076,-2.633,,some blacksmiths,,Ongoiba; Maiga (blacksmiths),village in plains
,Dogon,Jamsay,,Jamsay,Boumboum,búmbùm,15.016,-1.721,,,,; surname Ongoiba,village
,Dogon,Jamsay,,Jamsay,Boussouma,"bùsúmɔ̀ (Jamsay), busumo (Fulfulde)",15.109,-2.589,mixed Jamsay (Dogon) and Fulfulde,,,"Ongoiba (Jamsay), Diallo (Fulbe)",village at base of mountain; extensive ponds (including bulrush stands) and gardens
,Dogon,Jamsay,,Jamsay,Daidourou,,2.416,-2.700,,,,,
,Dogon,Jamsay,,Jamsay,Diangoudio,jáŋkúnjɛ̀,14.455,-3.072,,,,Dara,village in plains on a slight elevation;  farming and herding
,Dogon,Jamsay,,Jamsay,Diankabou,jàkáw,14.584,-3.074,,,"Friday, local","Pudiougo, Guindo, Dara, Teli",large village in plains between Bamba and Madougou; large ponds with water lilies
,Dogon,Jamsay,,Jamsay,"Dianwely (old, near Daidourou)",,14.466,-2.638,,,,,
,Dogon,Jamsay,,Jamsay,Dianwely Kessel,jɔ̀wⁿlè ànà kàná,14.887,-2.893,,,,,
,Dogon,Jamsay,,Jamsay,Dianwely Maoude,"jɔ́wⁿlè, jɔ̀wⁿlè ànà pɛ̌yⁿ",14.870,-2.918,,,,,
,Dogon,Jamsay,,Jamsay,Diennsagou,dɛ́yⁿsɔ̀gù,14.424,-3.051,,important pottery industry (waterjars sold in Madougou market),,Dara,village in plains
,Dogon,Jamsay,,Jamsay,Diguel,dígêl ~ dígèl,14.433,-1.883,,,,Goro,village in Burkina Faso
,Dogon,Jamsay,,Jamsay,Dinangourou,dúŋà ɔ̀rù. dinaŋguru,14.433,-2.250,,,"Sunday, local",Goro,village in plains
,Dogon,Jamsay,,Jamsay,Dionouga,jùnùŋɔ́,14.539,-1.951,,straw baskets; some blacksmiths,,Ongoiba,"village; shown on old maps as on Burkina side of border, but acquired by Mali after a border war"
,Dogon,Jamsay,,Jamsay,Dioungani,,14.316,-2.738,,,,,
,Dogon,Jamsay,,Jamsay,Dorodo,"dɔ̀rɔ́-dɔ́: (""come closer"")",14.484,-3.087,,,,Doumbo,village in plains; farming and herding
,Dogon,Jamsay,,Jamsay,Douari,dɔ́:rú,,,,,,,
,Dogon,Jamsay,,Jamsay,Douari,,,,,,,,
,Dogon,Jamsay,,Jamsay,Dougoussa,dúgúsà,15.004,-1.825,,,Thursday,Ongoiba,village
,Dogon,Jamsay,,Jamsay,Douma,"dùwⁿɔ́ (Jamsay), duma (Fulfulde)",14.916,-2.851,some Fulfulde,"doum-palm mats, weaving, and leatherwork (Morba)",,"Isabere (founding family), Dame (from Koro), Morba; Bari (Fulbe)","village on lower slope of small inselberg; said to have been founded by Songhay from Kasa village on Gandamiya mountain summit; farming and herding; doum-palm mats (women), weaving, leatherwork (Morba), herding (Fulbe); no gardens; many Fulbe are away with herds during dry season"
,Dogon,Jamsay,,Jamsay,Douna (near Mondoro),"dùná: ~ dùnâ:, dùnàà kàná",14.640,-1.739,,,,"Ongoiba, some Goro",village
,Dogon,Jamsay,,Jamsay,Doundoubangou,dúndúbáŋgù,14.400,-1.883,,,,Goro,village in Burkina Faso
,Dogon,Jamsay,,Jamsay,Eweri,"ìwěl (Jamsay), eweri (Fulfulde)",14.959,-2.923,,wooden beds,,"Isabere (chief's family), Yaloukouyé [jàlkújè], Toloba, Tembine [tɛ̀mbìnɛ́]","old village on summit of inselberg above Fombori; said to have originally come from Tiwegoro [tìwⁿè-górò] in Tengou-Kan zone; farmers; gardens on plain near Douentza (corn, tomato, squash, African eggplant, chili pepper, yam, sweet potato, onion); healers of mental illness, gynecological disorders, fractures and sprains; wooden beds"
,Dogon,Jamsay,,Jamsay,Fete Noti,pɛ́tálótì,14.990,-1.868,,,,Ongoiba,village
,Dogon,Jamsay,,Jamsay,Fombori,dùwàn dɔ̀ɣɔ̀ úrò,14.983,-2.933,,,,,
,Dogon,Jamsay,,Jamsay,Gangafani,gà:ⁿ pàrⁿú,14.383,-2.383,,,,,
,Dogon,Jamsay,,Jamsay,Gasa,gásà,14.900,-2.550,,,,,
,Dogon,Jamsay,,Jamsay,Gassey Diame (Gase),gásɛ̀,15.007,-1.750,,,,Ongoiba,village
,Dogon,Jamsay,,Jamsay,Gimel,"gímè (Jamsay), gimel (Fulfulde)",14.884,-2.887,,,,surname now Komno-Tougo [kómnó-túgò 'burrgrass-headrag'] but original surname Dieme [jɛ́mɛ̀] as still used in Dorou,"village on slope of small mountain near Dianwely Maoude; said to have been settled by people from Dorou [dɔ́:rú] near Koro; farming and some herding, fields now mostly in plains, older fields on mountain; no gardening; industries include wooden beds, branch-strip baskets; healers of mental illness, skin sores"
,Dogon,Jamsay,,Jamsay,Gono,"gɔ́rⁿɔ̀ (Jamsay), goono (Fulfulde)",15.056,-2.786,,blacksmiths; má:ɲá-m and sɛ́gɛ́-m castes,Monday,"Ongoiba, Sanga","village in plains; freeborn Dogon plus some of má:ɲá-m and sɛ́gɛ́-m castes; blacksmiths; one extended family of Ongoiba famous throughout the region for bone-healing (fractures, sprains); farming and herding; extensive gardens (renowned for calabashes)"
,Dogon,Jamsay,,Jamsay,Goumbomo,gúmbɔ́:mà,14.604,-2.185,,,,,hamlet for Dinangourou
,Dogon,Jamsay,,Jamsay,Gouti,,14.266,-2.821,,"tanners (Morba), blacksmiths","Friday, local","Ongoiba, Morba",village; said to be the oldest Jamsay settlement in the Mondoro region
,Dogon,Jamsay,,Jamsay,Issouwa,ísúwà,15.003,-1.784,,,,Ongoiba,village
,Dogon,Jamsay,,Jamsay,Kambo,kàmbɔ́,14.604,-2.167,,,,,hamlet for Dinangourou
,Dogon,Jamsay,,Jamsay,Karakinde,kárákínè,14.416,-2.900,,,,,
,Dogon,Jamsay,,Jamsay,Kassanga,kàsâ:ⁿ,14.505,-2.133,,,,Goro,village
,Dogon,Jamsay,,Jamsay,Kokoul,kìkɔ̌l,14.637,-2.035,,,,,hamlet (hameau) of Mondoro
,Dogon,Jamsay,,Jamsay,Kombo-Ogourou,kùmɔ́gúrú,14.238,-3.250,"majority Jamsay, also some Worou Kan (Poudiougo  Guimiri Kan (Sagara), Toro So (Guindo)",,"Tuesday, local","Ongoiba (majority), Poudiougo, Sagara, Douyon, Guindo",village in plains; Protestant church; farming and herding [for paired Fulbe village see Kombo-Ogourou (Fulbe)]
,Dogon,Jamsay,,Jamsay,Korkana,"àkɔ̀rɔ̀ kàná (""new well"")",14.855,-1.902,,,,Ongoiba,"village; part of ""Tiguila"" village complex"
,Dogon,Jamsay,,Jamsay,Kotoro,kɔ́tɔ́rɔ̀,15.059,-2.725,, má:ɲá-m caste,,surnames Sanga and Ongoiba; ,"village at base of small hill, across highway from Dansa; farming and herding"
,Dogon,Jamsay,,Jamsay,Lassa Ouaire,lásà-wá:rè,14.400,-1.800,"mixed Jamsay and ""Tellem"" (presumably Kurumba)",,,"Goro (Jamsay); Ganame (""Tellem"")",village in Burkina Faso
,Dogon,Jamsay,,Jamsay,Lewekande,lɛ̀wɛ́kándé,14.502,-3.072,,,,"Doumbo, Guindo",village in plains; farming and herding
,Dogon,Jamsay,,Jamsay,Madougou,mà:dú:,14.400,-3.083,,,"Monday, large regional market","Doumbo, Kodio, Dara, Den [dɛ̂:ⁿ]",town in plains between Bamba and Koro; two oldest sections were settled respectively from Ibi (Kodio) and Arou (Den) villages
,Dogon,Jamsay,,Jamsay,Mondoro,mɔ̀ndɔ́:rɔ́,14.672,-1.951,,"some tanners (Morba), dye-ers, and blacksmiths","Monday, regional","Ongoiba, Morba, a few Goro and Sanga",large village
,Dogon,Jamsay,,Jamsay,Naye (Jamsay),nâyⁿ,14.423,-3.038,,,,Douyon,"one of two paired villages of the same name, see Naye (Fulbe); in plains"
,Dogon,Jamsay,,Jamsay,Niamangoro,ñɛ̀mɛ̀górò,14.816,-2.750,,,,,
,Dogon,Jamsay,,Jamsay,Niangasaju,yàŋàsàjú,14.642,-1.776,,some blacksmiths,"Wednesday, local",Ongoiba,village
,Dogon,Jamsay,,Jamsay,Ogonongou,ɔ̀gɔ̀-nɔ̀ŋú,14.251,-3.239,,,,Ongoiba,"Jamsay-speaking village next to Kombo-Ogourou, originally settled from Pomboro-Dodiou; farming and herding"
,Dogon,Jamsay,,Jamsay,Ogosara,ɔ̀gɔ̀-sà:rⁿá,14.557,-3.072,,,,"Doumbo, Guindo",village in plains; farming and herding
,Dogon,Jamsay,,Jamsay,Ombo,,14.066,-2.883,,,,,
,Dogon,Jamsay,,Jamsay,Ouamde (Wamde),wá:mdè,15.088,-1.737,,,,Ongoiba,"village; northernmost Jamsay-speaking village, at the base of an inselberg ridge; formerly on the inselberg slope (a few families still there)"
,Dogon,Jamsay,,Jamsay,Patouki,"pádúgù (Jamsay), pattuki (Fulfulde)",15.056,-2.750,,má:ɲá-m caste,,"Sanga, Ongoiba",village at base of small hill; farming and herding
,Dogon,Jamsay,,Jamsay,Petaga (Petaka),pɛ́:tàgà,15.023,-2.841,also some Tamashek-speakers of gargasaajo caste,"leatherwork and jewelry (gargasaajo caste, Yatara) specialists in leather and jewelry",,"Ongoiba, Sanga (Dogon); Yatara (Tamasheks)","village in plains, straddling the highway; also some Tamasheks of gargasaajo caste (Yatara, specialists in leather and jewelry); faming and herding; gardening (onion, chili pepper, tomato)"
,Dogon,Jamsay,,Jamsay,Peto Kobi,,14.871,-1.889,,,,,village; part of Tiguila cluster
,Dogon,Jamsay,,Jamsay,Sabanga,,14.300,-2.033,,,,,
,Dogon,Jamsay,,Jamsay,Sambaladio,"sàmàlà-jêw (Dogon), samala:jo (Fulfulde)",14.823,-1.951,,some tanners (Morba) and blacksmiths,,"Ongoiba, Morba",village
,Dogon,Jamsay,,Jamsay,Sebendourou,ségémdúrù,14.971,-1.871,,,,Ongoiba,village
,Dogon,Jamsay,,Jamsay,Seguemara (Jamsay),sɛ̀:ŋɛ̀márⁿà,14.524,-3.084,,,,Doumbo,"one of two paired villages in plains, for the other see Seguemara (Fulbe); farming and herding"
,Dogon,Jamsay,,Jamsay,Sobanguma,sàbà:wⁿá,14.183,-2.655,,,,,
,Dogon,Jamsay,,Jamsay,Sogou (Jamsay),sɔ̀gú,14.742,-3.003,,indigo dye-ers,,Djiire,village on lower slope of hill
,Dogon,Jamsay,,Jamsay,Soufouroullaye (Sebendourou),"àɲèsà-sǒm (""Aniesa's horse"")",14.969,-1.873,,,,Ongoiba,sister village very close to Sebendourou
,Dogon,Jamsay,,Jamsay,Soye,sɔ̂y,14.486,-3.083,,,,Doumbo,village in plains; farming and herding
,Dogon,Jamsay,,Jamsay,Tena (Tere),tɛ̀rɛ́ⁿ,15.020,-1.692,,,,,village on a small elevation
,Dogon,Jamsay,,Jamsay,Tiguila Pey,"tìgìlɛ̀ pɛ́yⁿ (“old Tigila”), tígílà (village cluster)",14.872,-1.853,,,,,"""Tiguila"" is global name for a cluster of villages including Korkana and Peto Kobi"
,Dogon,Jamsay,,Jamsay,Toikana,"tòy kàná (""new planting"")",14.619,-1.838,,,,Ongoiba,village
,Dogon,Jamsay,,Jamsay,Toula,túlɔ̀,14.866,-2.633,,,,,
,Dogon,Jamsay,,Jamsay,Toulewendou,"túláwéndú, tíléwé:ndù",14.866,-2.083,,some blacksmiths,,Ongoiba,village
,Dogon,Jamsay,,Jamsay,Vendou Mbalou,bé:lì-bá:lù,14.433,-1.805,,,,Goro,village in Burkina Faso
,Dogon,Jamsay,,Jamsay,Yeremdourou,yěmdúrù,14.516,-2.133,,,"Saturday, local",Goro,village
,Dogon,Jamsay,,Jamsay,Yirma,"yìrùmá, yìrìmá",14.623,-2.155,,some tanners (Morba) and blacksmiths,"Friday, local","Ongoiba, Morba","village, said to be the original Jamsay village in the Mondoro zone"
,Dogon,Jamsay,,Jamsay (dialect?),Youdiou,yú:jú,14.273,-3.169,"all speak Jamsay though some (Poudiougo, Saye) have Worou Kan surnames",,"Thursday, local","Poudiougo, Douyon, Saye",village in plains; Protestant church; farming and herding
,Dogon,Jamsay,,Kimde Tegu,Kilimba,"kìmdɛ́, kìrìmá",14.739,-3.017,,,,Aya,village on lower slope of hill; pond at base of a nearby dune ridge
,Dogon,Jamsay,,Lele Tey,Nende,"lɛ́:lɛ̀, nɛ̀nɛ́",14.753,-3.000,,,,"Morogoye, Daama","village cluster in a row along lower slope of hill (some buildings on plains at base);gardening (vegetables, chili pepper, tobacco) and fruit trees (banana, papaya, mango)"
,Dogon,Jamsay,,Oyeru Tey,Okoyeri,"ò:yérú, ɔ̀gɔ̀yɛ́rí",14.822,-2.908,,,,,village at base of hill
,Dogon,Jamsay,,Perge Tegu,Pergue,pɛ̀rgɛ́,14.851,-3.019,1/4 of village (dye-ers) speak regular Jamsay,indigo dye-ers,,Pergourou,"village on flat rocky shelf overlooking sandy plains and valley; has unique, highly divergent Jamsay dialect with much Nanga influence (intermarriage with Anda and Wakara still common); paired with Wakara in ethnohistory of origin (two brothers who split up); one neighborhood with about 1/4 of village is occupied by a caste of indigo dye-ers who speak standard Jamsay; millet fields are in plains below and some on shelf; cattle festival around early December, goat festival around June; less rigorously Islamic than nearby Beni"
,Dogon,Mombo,Kolu,Mombo,Deguimbere,dɛ̀gɛ́mbɛ̀lì,14.335,-3.783,,,,,
,Dogon,Mombo,Kolu,Mombo,Kori Maounde,kɔ́lì,14.451,-3.773,,,,"Degoga (majority), some Karambe and Napo [nà:pó]",village on slope of small rocky hill on the plateau; originally settled by people from Kori-Kori; farming
,Dogon,Mombo,Kolu,Mombo,Kori-Kori,kɔ̀lìkɔ́lí,14.403,-3.751,,,,"Tembele (majority), some Karambe and Djiguiba; ","village on rocky plateau, near Bandiagara highway; farming"
,Dogon,Mombo,Kolu,Mombo,Ngoro,gólò,14.488,-3.783,,,,,
,Dogon,Mombo,Kolu,Mombo,Niwari,"nìwàlí (Songho dialect), ná:lì (own dialect)",14.458,-3.771,,,,"Karambe (majority), some Degoga",village on small rocky hill on plateau; farming
,Dogon,Mombo,Kolu,Mombo,Sibo,sìbó,14.436,-3.753,,,,Napo [nà:pó],village on rocky plateau; farming; well-known family of healers for mental illness
,Dogon,Mombo,Kolu,Mombo,Songho (Songo),sɔ́ŋgɔ́,14.400,-3.700,,,,,village on plateau among small inselbergs; famous for poster-quality wall paintings and for a group male circumcision festival about every third year; campement
,Dogon,Mombo,Kolu,Mombo,Tile,tílè,14.383,-3.716,,,,,
,Dogon,Mombo,Kolu,Mombo,Vaou,wáw,14.441,-3.640,,,,Karambe,village on edge of high plateau overlooking the plains; originally settled by people from Songho;farming and herding (year-round water pump)
,Dogon,Mombo,Kolu,Mombo (Kema),Kema,kémá,14.416,-3.816,(speak dialect called Ambalengge by Songho people),,,,
,Dogon,Mombo,Kolu,Mombo (Miambo),Bandiougou,bánjúgú,14.506,-3.904,,,,"Karambe, Degoga",village in two sections on rocky plateau (one on rocky elevation) with many gardens and fields
,Dogon,Mombo,Kolu,Mombo (Miambo),Fiko,pílígɔ̀,14.451,-3.900,,,,Traore,"village on rocky plateau near small inselberg, on Bandiagara highway, seasonal river just across highway;  farming and limestone quarrying"
,Dogon,Mombo,Kolu,Mombo (Miambo),Gona,gɔna,,0.000,,,,,
,Dogon,Mombo,Kolu,Mombo (Miambo),Kakoli,kágólí,14.483,-3.816,,,,,
,Dogon,Mombo,Kolu,Mombo (Miambo),Magou,mɔ́gú,14.338,-3.921,(Seydou of Songho thinks they may speak Ampari),,,,
,Dogon,Mombo,Kolu,Mombo (Miambo),Onjougou,ɔ̀njɔ́gɔ̀,,0.000,,,,,(near Goundaka)
,Dogon,Mombo,Kolu,Mombo (Miambo),Tangadouba,,14.450,-3.983,,,,,village on rocky elevation in plateau
,Dogon,Mombo,Kolu,Mombo (Miambo),Tagu,tá:gú,,0.000,said to speak dialect called Nyambengge by Songho people,,,,(near Goundaka)
,Dogon,Mombo,Kolu,Mombo (Miambo),Tena,,,0.000,,,,,
,Dogon,Najamba-Kindige,"Bondu So, Bondum Dom",Kindige,Aina,,14.822,-3.551,,,,Tabouna-Bedie (both sections),"village cluster on plateau near its western edge, old village Aina-Da and two satellites Aina-Sadia and Aina-Boro"
,Dogon,Najamba-Kindige,"Bondu So, Bondum Dom",Kindige,Aina Sadia (Middler Aina),ayna-saja,14.825,-3.550,,,,Gala-O-Gala,village on elevated flat area near western edge of plateau; attend school at Tapou; frequent markets at Ningo and Dogani; settled from Aina-Da
,Dogon,Najamba-Kindige,"Bondu So, Bondum Dom",Kindige,Aina Da (Upper Aina),ayna-da,14.820,-3.552,,leatherworkers,,"Gala-O-Gala, Babadji (leatherworkers)","village on slightly elevated flat area near western edge of plateau; attend school at Tapou; frequent markets at Ningo and Dogani; oldest village of the Aina cluster, settled from Kani-Bonzon"
,Dogon,Najamba-Kindige,"Bondu So, Bondum Dom",Kindige,Aina Boro (Lower Aina),ayna-bɔrɔ,14.822,-3.552,,,,"Gala-O-Gala, Tabouna-Bédié",village on slight depression on plateau near western edge; attend school at Tapou; frequent markets at Ningo and Dogani; settled from Aina-Da
,Dogon,Najamba-Kindige,"Bondu So, Bondum Dom",Kindige,Borko,,14.950,-3.366,,,,,
,Dogon,Najamba-Kindige,"Bondu So, Bondum Dom",Kindige,Choungolo (not checked),,15.005,-3.200,,,,,
,Dogon,Najamba-Kindige,"Bondu So, Bondum Dom",Kindige,Dempare,,15.039,-3.367,,,,"Kassambara, Peliaba","village on a small isolated rocky hill; history of fighting over land with nearby Kiro; ""Bellé"" on old map is at a different but nearby location farther south"
,Dogon,Najamba-Kindige,"Bondu So, Bondum Dom",Kindige,Dogani,"dògàní (cluster), dògàn-bɛ̀lɛ́ (main village)",14.891,-3.419,,,,"Sangalaba, Gaba, Ogolba, Molba, Diombele","village cluster at edge of plateau; Dogani in extended sense includes Menthi, Kounde, Gobina, and Sirou"
